Char	Type	Sub
1	P	NA
2	P	NA
3	P	NA
4	S	3
5	P	NA
6	P	NA
7	P	NA
8	S	7
9	S	7
10	S	7
11	S	7
12	S	7
13	S	7
14	S	7
15	S	7
16	P	NA
17	P	NA
18	P	NA
19	P	NA
20	S	19
21	S	19
22	S	19
23	S	19
24	P	NA
25	P	NA
26	P	NA
27	P	NA
28	P	NA
29	P	NA
30	P	NA
31	P	NA
32	P	NA
33	P	NA
34	P	NA
35	P	NA
36	P	NA
37	P	NA
38	P	NA
39	P	NA
40	P	NA
41	P	NA
42	P	NA
43	P	NA
44	P	NA
45	P	NA
46	P	NA
47	S	46
48	P	NA
49	S	48
50	S	48
51	P	NA
52	P	NA
53	S	52
54	P	NA
55	P	NA
56	S	200
57	S	200
58	S	200
59	S	200
60	S	200
61	S	200
62	S	200
63	S	200
64	P	NA
65	P	NA
66	P	NA
67	P	NA
68	S	67
69	S	67
70	S	67
71	S	67
72	S	67
73	S	67
74	S	67
75	S	67
76	P	NA
77	S	76
78	S	76
79	S	76
80	S	76
81	S	76
82	S	76
83	P	NA
84	P	NA
85	P	NA
86	P	NA
87	P	NA
88	P	NA
89	P	NA
90	P	NA
91	P	NA
92	S	76
93	S	76
94	P	NA
95	P	NA
96	P	NA
97	P	NA
98	P	NA
99	P	NA
100	P	NA
101	S	97
102	P	NA
103	S	102
104	S	102
105	P	NA
106	P	NA
107	P	NA
108	P	NA
109	P	NA
110	P	NA
111	P	NA
112	P	NA
113	P	NA
114	P	NA
115	P	NA
116	S	115
117	S	115
118	P	NA
119	P	NA
120	P	NA
121	P	NA
122	P	NA
123	P	NA
124	P	NA
125	P	NA
126	P	NA
127	P	NA
128	P	NA
129	P	NA
130	P	NA
131	P	NA
132	S	131
133	S	131
134	P	NA
135	P	NA
136	P	NA
137	P	NA
138	P	NA
139	P	NA
140	P	NA
141	P	NA
142	P	NA
143	P	NA
144	P	NA
145	P	NA
146	S	145
147	S	145
148	P	NA
149	S	148
150	P	NA
151	S	145
152	S	145
153	P	NA
154	S	153
155	S	153
156	P	NA
157	S	156
158	S	156
159	P	NA
160	P	NA
161	P	NA
162	P	NA
163	S	162
164	S	162
165	P	NA
166	P	NA
167	P	NA
168	S	167
169	S	167
170	P	NA
171	S	170
172	S	170
173	S	170
174	P	NA
175	S	174
176	P	NA
177	P	NA
178	P	NA
179	S	178
180	S	178
181	P	NA
182	P	NA
183	P	NA
184	P	NA
185	P	NA
186	S	185
187	P	NA
188	P	NA
189	P	NA
190	P	NA
191	P	NA
192	P	NA
193	P	NA
194	P	NA
195	S	190
196	S	190
197	P	NA
198	P	NA
199	P	NA
200	P	NA
